"Area","Date","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)","Balloons","Cigar Tips","Cigarette Lighters","Construction Materials","Fireworks","Tires","Toys","Other Trash (Clean Swell)","Condoms","Diapers","Syringes","Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected","Total Pounds of Litter Collected","Number of Volunteers","Volunteer Hours","Number of Miles"
"Oceanview Park (4th - 9th Street)","09/30/2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Old Dominion University","09/30/2017","35","9","0","0","3","52","2","11","1","11","7","0","0","1","0","11","0","3","0","0","0","10","0","0","0","0","0","21","0","0","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","188","30","14","14","1"
"Willoughby Spit","09/30/2017","252","66","29","29","87","60","58","72","58","101","62","86","74","74","52","75","50","44","7","7","1","3","0","39","13","17","6","18","0","3","10","14","22","22","1","4","0","0","4","17","2","5","0","81","198","270","2,093","725","38","114","1"
"Admiral Taussig Boulevard (Granby Street - East Little Creek Boulevard)","09/30/2016","71","34","0","3","24","5","13","17","5","31","9","7","11","16","3","16","14","4","1","1","0","0","0","0","9","0","0","13","0","0","0","18","1","4","0","0","0","0","1","0","1","0","0","0","32","125","489","60","10","20","1"
"Bay Dunes Drive","09/30/2016","126","15","3","0","7","0","6","18","0","3","0","0","0","0","0","0","4","0","0","0","0","0","11","0","0","0","0","0","3","0","1","0","0","0","0","0","2","28","0","0","0","0","0","0","0","10","237","60","3","9","1"
"Beach (21st Bay Street - 30th Bay Street)","09/30/2016","133","53","17","0","42","0","33","23","5","45","54","47","91","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","36","0","3","0","0","0","0","0","1","196","0","0","0","0","10","0","0","206","1,002","90","5","10","1"
"Beach (Cottage Place Beach - North Beach View)","09/30/2016","439","95","32","40","158","18","13","30","7","44","70","44","34","2","6","9","6","2","1","0","6","1","0","0","0","0","0","38","0","0","10","29","3","0","26","0","0","0","6","10","1","3","0","21","8","63","1,275","200","9","27","1"
"Community Beach Park","09/30/2016","37","8","0","1","18","11","2","12","9","2","13","16","3","3","0","0","1","0","0","0","0","0","0","2","1","0","2","0","0","0","18","1","0","1","0","0","0","0","0","0","0","0","0","5","3","7","176","12","3","6","1"
"Curlew Drive (Feeder Road - Light Rail Station)","09/30/2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Ocean View (1300 - 1800 Block)","09/30/2016","3,060","164","33","7","294","30","18","108","27","51","23","42","29","18","3","34","17","8","0","8","2","10","0","1","22","5","8","22","0","0","12","76","3","2","17","0","0","0","2","0","0","2","0","161","50","535","4,904","60","2","4","1"
"East Oceanview Community Park","09/30/2016","323","43","20","3","42","0","8","5","7","14","20","31","24","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","25","0","1","0","0","0","0","0","0","137","0","0","0","0","0","0","0","114","818","180","19","57","1"
"East Princess Anne Road (Park Avenue - Ballentine Boulevard)","09/30/2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ocean View Beach Park","09/30/2016","3,060","164","33","7","294","30","18","108","27","51","23","42","29","18","3","34","17","8","0","8","2","10","0","1","22","5","8","22","0","0","12","76","3","2","17","0","0","0","2","0","0","2","0","161","50","535","4,904","240","15","45","1"
"Oceanview Pier","09/30/2016","171","95","14","13","30","0","19","48","0","30","13","31","33","0","0","0","31","0","0","0","0","0","6","0","0","0","0","0","17","0","1","0","0","0","0","0","2","185","0","0","0","0","1","0","0","136","876","90","12","36","1"
"Sarah Constant Beach Park","09/30/2016","0","41","2","5","3","11","0","2","12","3","13","6","15","7","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","2","3","0","0","0","0","4","0","0","136","150","8","16","1"
"SPOT- Military Gardens","09/30/2016","63","2","0","0","9","0","0","2","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","25","196","1,460","7","35","2"
"Tidewater (Little Creek - Bayview)","09/30/2016","56","32","2","1","4","0","6","11","1","20","5","7","21","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","7","0","2","0","0","0","0","0","1","23","0","0","0","0","2","0","0","40","246","60","9","9","1"
"Wetland (Poppe and Somee)","09/30/2016","111","36","1","0","17","0","42","4","11","4","1","4","1","0","0","0","3","0","0","0","0","0","6","0","0","0","0","0","16","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","21","290","55","1","3","1"
"Willoughby Spit","09/30/2016","386","59","41","25","127","0","93","146","24","91","67","69","28","0","0","0","14","0","0","0","0","0","19","0","0","0","0","0","105","0","2","0","0","0","0","0","0","274","0","0","0","0","59","0","0","289","1,918","1,150","42","126","2"
